	H5Tub.HGU133A.Stanford373.Stanford373	H5Tub.HGU133A.Stanford374.Stanford374	H5Tub.HGU133A.Stanford375.Stanford375	H5Tub.HGU133A.Stanford378.Stanford378	H7Tub.HGU133Plus2.Stanford1164.Stanford1164	H7Tub.HGU133Plus2.Stanford1165.Stanford1165	H7Tub.HGU133Plus2.Stanford1166.Stanford1166	H7Tub.HGU133Plus2.Stanford1168.Stanford1168	H7Tub.HGU133Plus2.Stanford1169.Stanford1169	H7Tub.HGU133Plus2.Stanford1170.Stanford1170	H7Tub.HGU133Plus2.Stanford1171.Stanford1171	H7Tub.HGU133Plus2.Stanford1172.Stanford1172	H7Tub.HGU133Plus2.Stanford1173.Stanford1173	H7Tub.HGU133Plus2.Stanford1174.Stanford1174	H7Tub.HGU133Plus2.Stanford1175.Stanford1175	H7Tub.HGU133Plus2.Stanford1177.Stanford1177	H7Tub.HGU133Plus2.Stanford1178.Stanford1178	H7Tub.HGU133Plus2.Stanford1179.Stanford1179	H7Tub.HGU133Plus2.Stanford1180.Stanford1180	H7Tub.HGU133Plus2.Stanford1182.Stanford1182	H7Tub.HGU133Plus2.Stanford1183.Stanford1183	H7Tub.HGU133Plus2.Stanford1184.Stanford1184	H8Tub-HGU133Plus2-LD_Stanford1296-LD_Stanford1296_30_25	H8Tub-HGU133Plus2-LD_Stanford1298-LD_Stanford1298_30_103	H8Tub-HGU133Plus2-LD_Stanford1299-LD_Stanford1299_30_109	H8Tub-HGU133Plus2-LD_Stanford1301-LD_Stanford1301_30_131	H8Tub-HGU133Plus2-LD_Stanford1302-LD_Stanford1302_30_138	H8Tub-HGU133Plus2-LD_Stanford1303-LD_Stanford1303_30_142	H8Tub-HGU133Plus2-LD_Stanford1304-LD_Stanford1304_30_146	H8Tub-HGU133Plus2-LD_Stanford1305-LD_Stanford1305_30_147	H8Tub-HGU133Plus2-LD_Stanford1306-LD_Stanford1306_30_150	H1Tub.HGU133A.DNNULL.DN1	H1Tub.HGU133A.DNNULL.DN10	H1Tub.HGU133A.DNNULL.DN11	H1Tub.HGU133A.DNNULL.DN2	H1Tub.HGU133A.DNNULL.DN3	H1Tub.HGU133A.DNNULL.DN5	H1Tub.HGU133A.DNNULL.DN6	H1Tub.HGU133A.DNNULL.DN7	H1Tub.HGU133A.DNNULL.DN8	H1Tub.HGU133A.DNNULL.DN9	H7Tub.HGU133Plus2.DN1101.DN1101	H7Tub.HGU133Plus2.DN1108.DN1108	H7Tub.HGU133Plus2.DN1110.DN1110	H7Tub.HGU133Plus2.DN1114.DN1114	H7Tub.HGU133Plus2.DN1132.DN1132	H7Tub.HGU133Plus2.DN1133.DN1133	H7Tub.HGU133Plus2.DN1139.DN1139
CASP8 	-0.28793	-0.24958	-0.53253	-0.58356	-0.58305	-0.47585	-0.54266	-0.46491	-0.21814	-0.60784	-0.36366	-0.50807	-0.81829	-0.33739	-0.48596	-0.55152	-0.34719	-0.38678	-0.46373	-0.20475	-0.28449	-0.29294	-0.2823	-0.04347	-0.35259	-0.39603	-0.27533	-0.26054	-0.36816	-0.67458	-0.52962	-0.23426	-0.05621	-0.03912	-0.28991	0.06565	-0.20464	-0.30607	-0.35904	-0.10838	0.22198	-0.06796	-0.13713	-0.37603	-0.05778	-0.39359	-0.31271	-0.11807
GALNT7 	0.68097	0.77751	0.76551	-0.35463	-0.56724	0.61453	0.39134	0.69125	0.02715	0.25198	0.60237	0.7312	0.53214	0.66723	-0.62618	0.14698	0.97269	0.29748	0.47194	0.59588	0.2886	0.57482	1.48037	1.76822	1.03465	0.35567	0.38295	0.52389	1.04147	0.64225	0.95732	0.48844	1.64498	0.95237	1.24605	1.51731	1.67447	2.26396	0.48344	0.98426	1.45854	1.38716	0.86394	1.91861	0.83305	1.03206	1.23399	1.42448
RBM22 	1.19095	0.95439	0.86635	0.62884	0.48534	1.14287	1.07836	1.05411	1.27846	1.03715	0.98783	1.00265	0.87866	1.19861	1.01357	0.91917	1.08999	0.95533	1.04039	1.1227	1.11468	1.0578	1.15042	1.11159	1.03348	0.99282	1.14975	1.143	1.35344	1.08845	1.0464	1.36007	1.24035	1.49741	1.41495	1.39929	1.44713	1.29416	0.85772	1.03667	1.34965	1.37109	1.25177	1.38289	1.21285	1.14695	1.18593	1.27134
C12orf35 	-0.21605	-0.24759	-0.25436	-0.11567	-0.67161	0.09765	-0.29967	-0.34908	-0.3029	-0.13661	-0.11146	-0.14045	-0.30205	-0.09683	-0.44632	-0.41483	-0.3609	-0.22172	0.05116	-0.58573	-0.29146	-0.40823	-0.05099	0.16665	0.24064	-0.40286	-0.26868	-0.23502	-0.1965	-0.26562	-0.16957	0.2115	0.71088	-0.11989	0.36843	1.32522	0.38217	0.56824	-0.01456	0.273	0.54183	0.23286	-0.17844	1.115	0.02616	-0.10553	0.3516	0.98453
TRIM32 	0.27717	0.12428	0.1236	0.36226	0.41696	0.28304	0.26757	0.14114	0.53889	0.32949	0.26258	-0.13345	0.09391	0.27264	0.0981	0.00735	0.23116	0.46992	0.20443	0.16786	0.17106	0.47909	0.20846	0.00315	0.38282	0.49955	0.72409	0.39178	0.49966	0.47941	0.19474	0.40282	1.09516	0.45057	0.41934	0.54988	0.70726	1.02597	0.28793	0.43275	0.50292	0.6673	0.50484	0.68861	0.49441	0.40812	0.68111	0.69107
ST6GALNAC4 	-1.06526	-1.07325	-1.18047	-1.18826	-1.28696	-1.06636	-1.08625	-1.03323	-1.27686	-1.30146	-1.18292	-1.2793	-0.90587	-1.11293	-1.37227	-1.24284	-1.01136	-1.05126	-1.14014	-0.9453	-1.15017	-0.94696	-0.76433	-0.83844	-1.29474	-0.72467	-0.85045	-1.11062	-0.76597	-0.87849	-0.88094	-0.93936	-0.70555	-0.63027	-1.16291	-0.97199	-0.63646	-0.88644	-0.78302	-0.80499	-0.75166	-0.72588	-0.9648	-0.65373	-0.94168	-1.02715	-0.73904	-0.58628
YLPM1 	0.48797	0.38764	0.68108	0.43687	0.13928	0.79463	0.59749	0.74263	0.80129	0.66483	0.63672	0.67145	0.58981	0.70827	0.56979	0.57203	0.62528	0.6369	0.70089	0.44138	0.68234	0.54036	0.58207	0.48702	0.59267	0.76467	0.63751	0.79525	0.74038	0.72389	0.51074	0.80158	0.89244	0.80687	0.77455	0.79372	0.94925	1.1377	0.52937	0.83613	1.15299	0.80777	0.95566	0.72237	0.78109	0.6697	0.76345	0.79447
IL7 	-2.63331	-2.57213	-2.35462	-2.23657	-2.58888	-2.40199	-2.42023	-2.49824	-2.36724	-2.43254	-2.47533	-2.71295	-2.55278	-2.51357	-2.78959	-2.38289	-2.56955	-2.51018	-2.41217	-2.57145	-2.61073	-2.52969	-1.94725	-1.85383	-2.08875	-2.61637	-1.95601	-2.37825	-2.47818	-2.39895	-2.46611	-2.52591	-2.02605	-2.10985	-2.11478	-2.15758	-1.88705	-1.95503	-2.16727	-1.83126	-2.12698	-2.20766	-1.35052	-1.24099	-2.23307	-2.06173	-2.02553	-1.65206
RASGRP1 	0.12286	-0.24615	-0.12987	0.005	-0.30574	0.58633	-0.33433	0.21724	-0.55751	0.13524	0.07973	0.09734	0.24272	0.71889	-0.29427	-0.24521	-0.27564	0.26607	-0.16056	-0.88316	-0.28639	-0.60621	0.656	0.11814	0.31834	-0.38177	-0.33656	-0.27267	0.38117	-0.01812	-0.28081	0.3705	0.19365	0.33712	1.13122	1.32068	0.76593	0.34831	0.01257	0.0614	-0.07169	0.72382	0.28715	1.07649	0.76781	0.44271	0.79091	1.2386
SELP 	0.17694	0.2554	0.30756	0.35245	0.64024	0.38565	0.21786	-0.18646	-0.14605	-0.03937	0.28548	0.03694	0.32584	0.05931	-0.0501	0.12662	-0.10275	0.31903	0.24299	-0.13341	0.50124	0.22155	-0.07925	0.32566	0.13081	-0.23207	0.17839	-0.28763	0.05921	-0.01496	0.23791	-0.04559	0.71843	0.55109	0.29837	1.35856	0.31724	0.90968	0.22337	0.8363	1.0129	0.45361	0.67995	0.66686	0.66015	0.5779	0.58906	1.41064
UCP2 	1.0038	0.6532	0.58748	0.33843	0.15535	0.60655	0.40659	-0.16978	0.48985	0.03671	0.63963	0.5082	-0.12032	0.47467	0.34818	0.18206	0.59203	0.86034	0.42664	0.02378	0.40411	0.38477	0.35399	0.24376	0.64519	0.65339	1.04339	0.51775	0.47184	0.39124	0.66027	0.39298	1.42602	0.67036	1.35426	1.93232	1.19895	2.05365	0.36854	1.18294	1.74453	0.91662	0.88018	1.59627	0.53392	1.10236	1.13187	2.05758
UBFD1 	-0.14307	-0.02234	0.02432	-0.21589	-0.12776	-0.12109	-0.00923	0.00272	-0.07087	-0.12165	-0.17564	-0.08148	-0.25634	0.08287	0.21307	-0.20026	-0.12492	-0.19266	0.24492	-0.04981	-0.07388	-0.19629	-0.14217	0.30411	0.26988	-0.04926	-0.2861	0.15766	0.15483	-0.15838	0.1899	0.28433	0.08052	0.11714	0.20607	-0.02144	0.5311	0.16603	0.19702	0.18551	-0.12895	0.26666	0.16003	0.30389	0.06702	0.21857	0.24233	0.1885
ABCC10 	0.24608	0.3778	0.46776	0.05717	0.14503	0.49913	0.36115	0.39469	0.26817	0.28247	0.2968	0.40673	0.19874	0.41328	0.5031	0.1826	0.51578	0.15797	0.64585	0.45349	0.34478	0.43246	0.41634	0.50381	0.89326	0.46241	0.47543	0.32483	0.23793	0.34557	0.3361	0.32205	0.60448	0.90519	0.6018	0.85018	0.59713	0.45196	0.45567	0.82043	0.54878	0.5276	0.54164	0.6542	0.54828	0.4978	0.72876	0.58423
GNG11 	1.40817	1.5657	0.70833	1.1864	0.8196	1.9937	1.42072	1.77581	1.47636	1.87034	1.43653	1.77742	1.46016	1.58219	1.53168	1.5631	1.13227	2.5822	1.76805	0.89509	1.57541	1.48215	1.94798	2.26536	1.95895	1.93719	1.83366	1.69707	1.11623	1.99726	1.06163	1.63557	2.04776	2.46456	2.10954	2.84853	1.94893	2.87788	1.43089	2.05808	2.49585	2.06577	1.94605	2.8831	2.4139	2.15474	1.67452	2.48817
KDELC1 	-1.2939	-1.48688	-1.71084	-1.42657	-1.2902	-0.84269	-1.40581	-1.34876	-1.61347	-1.53322	-1.50903	-0.93832	-1.9756	-1.32876	-1.77891	-1.27321	-1.4337	-1.26301	-0.87184	-1.47913	-1.73812	-1.56579	-1.30024	-0.91686	-0.54938	-1.26328	-1.15554	-1.40903	-1.2959	-1.43388	-1.28675	-1.00352	-0.5526	-0.25256	-0.69837	-0.01348	-1.15913	0.42078	-1.51242	-0.87996	-1.09896	-0.15568	-1.11714	-0.17526	-0.58437	-0.84577	-0.97328	-0.4856
NFKB1 	1.18918	1.23635	1.13572	1.08186	1.22424	1.6135	1.31096	1.40084	1.23767	1.15534	1.21511	1.29201	1.19276	1.53759	1.41115	1.42328	1.08465	1.29858	1.2672	1.33584	1.17869	1.05684	1.33846	1.42047	1.24218	1.4025	1.1963	1.52766	1.44413	1.56134	1.44338	1.52849	1.5793	1.84746	1.31044	1.35368	1.88249	1.95819	1.44592	1.53451	1.70525	1.66607	1.60473	1.97807	1.41645	1.36135	2.07668	2.09344
UTP14A 	-1.0321	-1.08389	-1.02342	-1.14985	-1.15633	-1.03359	-0.93886	-0.9143	-0.86476	-0.93129	-1.05591	-1.09118	-1.12609	-1.02135	-1.12784	-1.04545	-0.94289	-0.96384	-1.03607	-0.98871	-1.05181	-0.90408	-0.87207	-0.77947	-0.92644	-1.01477	-0.73451	-0.81934	-0.62659	-1.09942	-1.07946	-0.49801	-1.10016	-0.73337	-0.84553	-0.63435	-0.73002	-0.63463	-0.9634	-0.73425	-0.76549	-0.66085	-0.60747	-0.46168	-0.80885	-1.00827	-0.75689	-0.74552
RTP4 	-1.23088	-1.16394	-1.35958	-1.29084	-1.18743	-0.40735	-1.08151	-0.71232	-1.15383	-1.07404	-0.88901	-0.72139	-1.40143	-0.88172	-0.87706	-1.06534	-1.20547	-0.64671	-0.89656	-1.22255	-0.71506	-0.90882	-0.12829	-0.1288	-0.49313	-1.16256	-1.47889	-0.84502	-1.36843	-0.49605	-0.56601	-0.65091	0.17582	0.21788	-0.765	0.51872	-0.71232	-0.39617	-0.58018	-0.81285	-0.17383	0.11411	-0.71074	0.53308	-0.82568	-0.44367	0.21294	0.2744
PMS1 	0.12659	0.36387	0.21713	-0.27097	-0.11727	0.56899	0.39244	0.42328	0.37419	0.36525	0.43582	0.49895	0.21967	0.46948	0.61399	0.2134	0.41623	0.29788	0.54562	0.4725	-0.01046	0.2362	0.5591	0.53511	0.79397	0.08139	0.47137	0.32885	0.49447	0.45185	0.31988	0.87427	0.84001	0.73894	1.12696	1.88511	1.24738	0.99812	0.24802	0.46931	0.92833	0.8421	0.77754	0.93035	0.56474	0.59086	0.5304	0.98783
TRIP12 	2.76516	2.63334	2.72372	2.38577	2.13965	2.70709	2.66426	2.68922	2.70193	2.69428	2.72849	2.70968	2.6252	2.64902	2.5875	2.63482	2.79931	2.27727	2.70539	2.77742	2.82744	2.69926	2.85579	3.04715	2.84377	2.77825	3.00595	2.75648	2.84216	2.64561	2.83118	2.88959	2.80805	2.65887	3.12265	3.36032	3.18724	2.9923	2.8192	2.91342	3.0113	2.84555	3.02252	3.02517	2.88593	2.73078	2.9896	2.93739
QPCT 	-1.72209	-1.45069	-1.49612	-1.91132	-2.49164	-0.7588	-1.79755	-1.93602	-1.19699	-2.50559	-1.79425	-1.15149	-1.51109	-1.74723	-2.34884	-1.24448	-1.91247	-1.28197	-1.08724	-1.88738	-1.61284	-1.70649	-0.42387	0.02446	-0.10015	-1.32653	-1.54726	-1.11884	-1.87991	-0.27519	-0.99985	-1.34922	0.03002	0.04615	-1.12721	-0.63073	-0.93928	1.03414	-1.60103	-0.844	0.57463	0.14155	-0.21816	0.40073	-0.96539	-0.90899	-0.16635	0.36962
CSK 	0.85158	0.94681	0.97167	0.89179	0.78497	0.85137	0.71102	0.57369	0.60834	0.65063	0.78729	0.74236	0.638	0.72004	0.75772	0.79279	0.61882	0.72035	0.7733	0.86297	0.86531	0.62815	0.50845	0.59834	0.77309	1.2461	0.65216	0.92255	0.95205	1.00659	0.98911	1.00104	1.07544	1.14553	0.98799	1.63812	0.97822	1.43497	0.73654	0.91053	1.28051	0.95076	1.01167	1.47296	0.95515	0.96618	1.22839	1.48188
A2M 	2.94187	2.84731	3.01823	2.08449	2.44977	4.17348	3.2252	3.42755	3.07652	3.3483	3.8907	3.83687	2.51846	2.62401	4.39389	3.12688	2.75986	3.68905	3.90543	2.40137	3.63621	3.41821	3.85893	4.12424	3.6035	3.46165	3.30914	3.14142	3.35558	3.63692	3.61961	3.64877	4.46152	3.15669	4.37241	4.4881	4.34629	4.84232	3.51162	3.99788	4.54911	4.02314	4.0096	4.71771	3.82973	3.12066	3.89906	4.57406
TAX1BP3 	2.48949	2.81518	2.65059	2.09665	2.01769	3.21288	2.28861	2.46118	2.74108	2.29456	2.67114	2.46401	2.55581	2.27377	2.43682	2.56021	2.5869	2.70432	2.69037	2.57486	2.77466	2.68265	2.7668	3.26511	2.62619	2.82906	2.56144	2.49693	3.18792	3.03482	2.8021	2.58705	3.29385	3.49513	3.02137	3.56597	3.01954	3.62157	2.34496	3.04738	3.82366	3.49149	3.08916	3.32635	2.88154	2.93446	4.07358	3.43953
ACTN1 	0.00481	0.24525	0.12298	-0.23572	-0.16783	1.01454	0.38663	0.24245	0.42546	-0.49627	0.76831	0.91058	0.42535	-0.01497	1.10359	0.66024	0.42711	0.44483	0.69103	-0.09715	0.64751	0.278	0.44563	0.85699	0.13583	0.97013	0.83146	0.65391	0.97817	0.7657	0.77417	0.25605	2.07678	1.85777	0.5942	2.17256	0.84748	1.96878	0.85462	1.3072	1.999	1.18568	1.41589	1.89211	0.50306	0.48618	1.73694	1.98037
PIBF1 	-0.8145	-1.03521	-1.17868	-0.90947	-1.72807	-1.21845	-1.37883	-1.05223	-1.03598	-1.38565	-1.04829	-1.08976	-1.40448	-0.85515	-1.46964	-1.11879	-1.04827	-0.99429	-1.06913	-1.10642	-1.30584	-1.09199	-0.9214	-0.75437	-0.73976	-1.00784	-1.08288	-0.96339	-1.01711	-1.25681	-1.49906	-0.85788	-0.53603	-1.13564	-0.86793	-0.43845	-0.90281	-0.51094	-1.15916	-0.83426	-0.78479	-0.63287	-0.87166	-0.41373	-0.7113	-1.06628	-0.91962	-0.74012
TUSC3 	0.83747	0.71033	0.96075	0.58678	0.29841	1.60178	1.16722	1.43827	1.20808	0.95369	1.65782	1.67951	1.20286	1.27242	1.20522	1.23709	1.33987	1.87598	1.31534	0.77484	1.46368	1.15874	1.2976	2.75478	2.09303	2.11536	1.76611	1.65519	1.27535	0.9039	1.28581	1.56647	2.63945	2.15806	1.55247	1.96109	1.727	2.73987	1.46823	1.395	2.98682	2.56281	1.75721	2.54496	2.42105	1.31154	2.15987	2.45807
CASP1 	-1.55489	-1.58687	-1.4716	-1.58386	-1.40139	-1.02243	-1.37708	-1.29103	-1.46623	-1.31177	-1.4037	-1.22243	-1.50593	-1.43026	-1.32631	-1.50491	-1.73602	-1.05675	-1.10478	-1.77117	-1.33461	-1.61011	-0.7684	0.15909	-0.54281	-1.83337	-1.50752	-1.64558	-1.43331	-1.077	-1.60264	-1.39494	-0.11573	-1.05144	-0.80551	0.8189	-0.4697	0.63954	-0.96053	-0.18254	0.04013	-0.41084	-0.45699	1.16439	-0.81004	-1.16403	-0.60333	0.83652
GTF2H1 	0.5289	0.8231	0.72944	0.42446	0.56988	0.59105	0.63206	0.76797	1.17677	0.72328	1.03485	0.61716	0.56201	0.93485	0.76313	0.99027	1.08582	0.80666	0.77718	1.04311	0.78738	0.86477	0.93355	0.92413	1.04222	0.84595	1.25868	0.95336	0.99304	0.88565	0.71634	1.4776	0.9564	1.05935	1.15903	1.2343	1.53816	0.87271	1.14409	0.89841	1.01124	1.41535	1.34372	0.9923	1.45201	1.1626	0.82824	1.01623
NECAP2 	0.81682	1.1248	0.9434	0.69083	0.79262	1.3482	1.14647	1.06061	1.21531	1.06705	1.09029	1.07023	0.97329	1.07485	0.99366	1.04486	0.96599	1.43218	1.15805	0.98985	1.19041	0.99654	0.85372	1.42045	1.30748	1.19107	1.26887	1.16535	1.28953	1.15563	1.03365	1.29794	1.50589	1.31727	1.36144	1.73947	1.43371	1.683	0.98419	1.16812	1.67966	1.44436	1.25869	1.82283	1.26499	1.10326	1.77421	1.7467
VCAN 	-1.78009	-1.83989	-1.78149	-1.76265	-2.08776	-1.42893	-1.97253	-1.94967	-2.09091	-2.27003	-1.67059	-1.76762	-1.9681	-2.26987	-1.74281	-2.02885	-2.03673	-1.78576	-1.69161	-2.33098	-1.65767	-1.578	-1.28029	-1.92752	-0.59312	-1.40978	-1.38757	-1.59446	-1.81913	-0.1295	-1.66323	-1.51898	0.98909	-0.26264	-1.46892	0.68188	-1.0825	1.40525	-1.51517	-1.0685	1.05706	-0.52647	0.23785	2.20932	-1.12752	-0.93769	-0.1462	1.35631
SYT11 	-1.76065	-1.85626	-1.76752	-1.7853	-2.01316	-1.84541	-2.02475	-1.91686	-2.06608	-1.97504	-1.94307	-1.89607	-1.79752	-1.89754	-1.95089	-1.9571	-1.83479	-2.03021	-1.84403	-1.88672	-1.84976	-1.97753	-1.59871	-1.53098	-1.71507	-1.56154	-1.81893	-2.01541	-1.77432	-1.67081	-2.18804	-1.69333	-1.51149	-1.88199	-1.69229	-1.47816	-1.55309	-1.38342	-1.75028	-1.7551	-1.12127	-1.51266	-1.62707	-1.16544	-1.77122	-1.58492	-0.95269	-1.28341
MANSC1 	-0.35853	-0.35761	-0.58352	-1.34379	-1.83589	-0.02018	-0.85395	-0.41487	-0.24608	-0.39423	-0.49505	-0.41733	-0.68408	-0.32849	-0.89707	-0.58952	-0.08806	-0.45437	-0.41578	-0.43987	-0.52629	-0.36707	0.11951	-0.17404	0.2844	-0.52971	-0.20418	-0.47899	-0.13682	-0.28836	-0.15271	-0.38196	0.22131	-0.49795	-0.07018	-0.03558	0.34237	-0.03087	-0.15773	-0.29745	0.85724	0.02281	0.20714	0.37107	-0.02297	0.02145	0.60797	0.08223
VWA5A 	0.62639	0.81323	0.61408	0.41801	0.59747	1.05954	0.86333	0.88494	0.60704	0.52702	0.70684	0.66085	0.84857	0.69273	0.56848	0.76545	0.7519	0.7902	0.83367	0.69909	0.8155	0.68051	1.12232	1.45715	0.91848	0.83174	1.02051	0.79716	0.62893	0.75127	1.02774	0.88936	1.10426	0.95252	0.89719	1.2383	1.09527	1.1997	0.68584	0.93125	1.63028	1.27048	1.14246	1.45236	1.07098	0.88685	1.45929	1.21572
DENR 	2.60908	2.37627	2.59553	1.93215	1.54738	2.33894	2.21786	2.28879	2.38907	2.33851	2.27516	2.24974	2.22	2.32583	2.139	2.42017	2.32601	2.37769	2.25399	2.24205	2.27764	2.2841	2.53329	2.64928	2.7665	2.25196	2.31989	2.54136	2.53001	2.54931	2.22568	2.80793	2.66781	2.64056	2.90389	3.00676	2.8858	3.10368	2.34454	2.1909	2.58337	2.85284	2.61329	2.88407	2.63187	2.33785	2.56989	2.56612
AGR2 	-1.01982	-0.48854	-1.18854	-1.25095	-0.52332	-1.14378	-1.23594	-1.4238	-1.04548	-1.5453	-1.26606	-0.87999	-1.43618	-1.44014	-1.01209	-1.08974	-1.13373	-1.0095	-1.11985	-1.18937	-0.63821	-1.17219	-0.07955	-0.51415	0.03696	-0.18344	0.32515	-0.81275	-1.7879	-1.63736	-1.54469	-1.13067	0.44974	-0.51954	0.75876	0.59342	1.39162	1.10417	-1.02918	-0.52358	0.37087	-0.59231	-0.46526	0.29088	-0.6431	-0.20626	1.3205	0.73713
LTF 	0.35223	-0.33924	-0.45744	0.8586	0.31976	0.99591	-0.57384	-0.59131	0.36448	-0.58809	0.04545	-0.55776	-0.44762	-0.5166	0.02298	-0.17195	-0.67208	0.22304	1.08228	-0.26189	-0.38141	0.26649	0.75082	1.68809	6.11105	2.0728	0.51535	2.62687	-0.6917	3.43232	-0.47336	-0.13217	4.36091	4.79795	0.83118	4.14297	2.38793	4.82279	0.01314	2.31286	6.27921	3.80195	2.31536	4.17289	0.67179	2.50296	4.46299	4.0741
DYNLL1 	5.36589	5.54073	5.41735	5.23461	4.91663	5.3856	5.16902	5.48665	5.52152	5.34496	5.57383	5.47416	5.68422	5.41125	4.88097	5.61736	5.51239	5.63194	5.31178	5.50407	5.45872	5.48275	5.57119	5.91647	5.7914	5.4546	5.62843	5.34534	5.85647	5.42802	5.59505	5.31079	5.87451	6.00769	5.60094	5.72579	5.84413	5.68332	5.76492	5.86548	5.84559	5.85034	5.52901	5.93116	5.67215	5.54845	5.62737	5.86438
ADRB2 	-1.58202	-1.31868	-1.55973	-1.43016	-1.40658	-1.58057	-1.47999	-1.59684	-1.77997	-1.62181	-1.60385	-1.54804	-1.62676	-1.708	-1.50749	-1.54603	-1.56326	-1.66863	-1.28719	-1.49261	-1.36743	-1.53815	-1.57502	-1.44318	-1.61755	-1.54952	-1.55694	-1.82398	-1.53652	-1.22025	-1.54641	-1.06112	-1.39888	-1.28972	-1.4347	-0.64813	-1.21699	-1.41423	-1.56595	-1.26558	-1.03373	-1.17936	-1.20573	-0.95193	-1.45789	-1.42789	-1.30575	-0.95342
MYLIP 	0.44212	0.59527	0.38869	0.43508	0.65363	1.18014	0.53906	1.03382	0.61198	1.34281	0.86283	0.67333	1.02922	1.00057	0.82205	0.58969	0.6037	0.87911	0.66544	0.78924	0.93451	0.52481	1.53572	1.38611	1.06784	0.71626	0.83594	0.67194	1.07712	1.0364	1.18304	1.06034	1.1065	1.08958	1.67637	1.86522	1.25498	0.86019	0.59818	1.36318	1.13702	1.66104	2.18914	1.47683	1.65316	1.30179	1.40432	1.57766
CXCL6 	-2.12109	-2.05748	-2.07905	-1.83908	-2.83406	-2.19959	-2.47848	-2.84804	-2.79152	-2.87776	-2.23354	-2.05037	-2.63197	-2.76531	-2.86872	-2.69334	-2.47102	-2.5636	-1.99506	-2.88633	-2.50846	-2.19678	-1.51617	-2.03863	-1.45386	-2.62545	-2.94561	-2.36279	-1.61123	1.65626	-2.33543	-2.08107	1.8327	2.44166	-1.90655	1.2897	-1.77406	1.77961	-2.21723	-1.81883	-1.35657	1.12641	-0.38865	2.39357	0.34162	-0.07106	-0.41388	2.49252
C1GALT1C1 	1.34743	1.38059	1.38966	0.8272	0.27119	1.4845	1.1911	1.41081	1.60386	1.29596	1.04357	1.18608	1.23563	1.46917	0.90139	1.36426	1.41285	1.29752	1.5547	1.5568	1.33598	1.43144	1.69961	1.75685	1.62471	1.34562	0.71062	1.76695	1.52823	1.53151	1.44437	1.72829	1.73541	1.41559	1.45067	1.58158	1.68948	1.88735	1.60358	1.61343	2.07803	1.84909	1.50963	1.61374	1.4177	1.48787	1.80509	1.76154
GYPC 	1.04351	1.10074	0.99298	1.21542	1.45815	1.38531	1.25469	1.37485	1.01499	1.21786	1.50701	1.31612	0.88737	1.00745	1.80452	0.94022	1.28723	1.69678	1.26761	0.99791	1.19095	1.35173	0.80551	1.34527	1.55148	1.93142	1.4421	1.28088	1.03471	1.9138	1.41315	1.62456	2.11831	1.70043	2.13876	1.94967	1.52415	2.55611	1.53618	1.74474	1.63504	1.91368	1.70625	2.52913	1.53031	1.06482	1.53499	2.41473
HLA-DPA1 	2.87609	2.24491	2.92262	2.47128	2.60913	3.20752	3.39478	3.15685	3.68466	2.80962	3.52189	3.24815	3.19126	2.35488	3.02706	2.76954	2.20552	3.56742	3.123	2.31579	3.47253	3.13902	3.25184	4.03943	3.85504	2.70276	3.1981	2.13214	2.17843	2.83719	3.14711	3.76455	5.18039	3.38134	4.28517	6.04493	4.08817	5.58378	2.49969	4.65561	4.11139	3.88122	3.98998	5.2187	4.05046	2.71959	3.9191	5.3867
EIF4G3 	-0.5663	-0.6051	-0.44107	-0.66155	-0.47432	-0.3616	-0.26869	-0.26887	-0.27415	-0.39258	-0.29146	-0.25825	-0.12864	-0.35703	-0.4172	-0.34154	-0.41261	-0.37633	-0.27029	-0.45187	-0.4338	-0.36827	-0.19248	-0.1658	-0.43863	-0.45544	-0.70492	-0.2124	-0.11212	-0.30441	-0.06672	-0.1404	-0.02793	-0.28229	-0.11955	0.33537	-0.01144	0.04474	-0.37619	-0.22942	0.24999	0.02048	-0.1132	0.00161	-0.23657	-0.33442	-0.12364	-0.25759
SOX4 	-0.0515	-0.10335	1.59359	-0.07547	0.30474	2.19817	0.73359	0.49804	0.79815	0.41018	0.55233	1.2489	1.52993	1.28143	0.60885	1.59659	0.4866	0.81058	1.32069	0.34732	0.49907	0.3574	1.72257	1.19745	0.87784	1.10814	1.11116	1.19847	2.07541	2.2643	0.82188	1.48236	1.8249	1.34461	1.43174	3.94369	1.87616	1.6552	1.05949	1.39757	1.77611	2.40067	2.10184	2.35378	1.59459	1.54065	3.36796	2.39989
MARCKS 	-0.52307	-0.78503	-0.62223	-0.63879	-1.02925	-0.02413	-0.39916	-0.31104	-0.44667	-0.53817	-0.44277	-0.22566	-0.52359	-0.53531	-0.20991	-0.60757	-0.70706	-0.16668	-0.17459	-0.85224	-0.25174	-0.49038	0.14572	-0.24826	-0.11695	-0.02875	-0.93049	-0.34884	-0.04546	0.40985	-0.16739	-0.16313	1.51437	0.26846	0.11838	0.31162	0.15785	0.78503	-0.31622	0.10785	0.25814	-0.01524	0.31621	0.92389	-0.21381	-0.43873	0.47355	0.91847
